Sector_cultural,Año,Años_trayectoria,Mes,Municipio,Longitud,Latitud,Provincia,id_agrupacion,estado_validacion
Teatro,2021,3,6,Chivatá,-73.282529,5.558949,Centro,6abe4440-22f6-4123-a450-f4c0a4fdd844,Inactivo
Danza,2021,16,6,Monguí,-72.849292,5.723486,Sugamuxi,ad69c019-3679-4ed3-88b1-e65850f29d34,Inactivo
Música,2021,12,6,Aquitania,-72.88399,5.518602,Sugamuxi,d32107aa-9d2b-42a3-8d68-2933da90ed73,Inactivo
Teatro,2021,5,7,Duitama,-73.03063,5.822964,Tundama,ef595651-5c0d-466c-8e78-bbb152462dc6,Inactivo
Danza,2021,13,7,Tunja,-73.355539,5.53988,Centro,2892beaa-9cbb-42b0-892c-840ff9bf7ef2,Inactivo
Música,2021,25,7,Duitama,-73.03063,5.822964,Tundama,0cb7226c-9653-4bce-9d2e-2444db0d186a,Inactivo
Música,2021,2,7,Cucaita,-73.454338,5.544452,Centro,3aa04697-a9cc-4099-b53e-8ea37299fcdf,Inactivo
Música,2021,19,7,Duitama,-73.03063,5.822964,Tundama,013e3707-1d69-4fb1-8dec-0ac968286937,Inactivo
Teatro,2021,11,7,Villa De Leyva,-73.524948,5.632455,Ricaurte,c3366e29-bb43-41bf-8659-b5805717ee0f,Inactivo
Teatro,2021,9,7,Tunja,-73.355539,5.53988,Centro,6795c45b-ca50-45eb-9968-4c04c6bc4479,Inactivo
Música,2021,12,7,Duitama,-73.03063,5.822964,Tundama,3a9415d3-62fa-4474-a4a2-69c2a987b6cc,Inactivo
Artes Plásticas,2021,6,7,Paipa,-73.11782,5.779894,Tundama,d780cb4d-228d-439c-8ad9-7d19fc828717,Inactivo
Danza,2021,6,7,Sotaquirá,-73.246585,5.764986,Centro,c8665e5c-1354-4973-8dbb-c9c8dfe2bf66,Inactivo
Música,2021,27,7,Duitama,-73.03063,5.822964,Tundama,95ca74ab-2871-44f8-8862-67dd38835b03,Inactivo
Música,2021,23,7,Sogamoso,-72.924355,5.723976,Sugamuxi,c0f1aa11-aa96-4dd0-9953-aafe54767d9b,Inactivo
Danza,2021,9,7,Duitama,-73.03063,5.822964,Tundama,cfed6413-9544-47d7-acab-c674962038e3,Inactivo
Música,2021,12,7,Tunja,-73.355539,5.53988,Centro,cd2c2062-2b75-45a8-9f02-42c27e7b7a25,Inactivo
Música,2021,4,7,Monguí,-72.849292,5.723486,Sugamuxi,8ca3c0ec-7389-45a1-a801-e9845d51f166,Inactivo
Música,2021,7,7,Tunja,-73.355539,5.53988,Centro,d8b6fb55-543e-407d-a78b-d5938cb08d2d,Inactivo
Artes Plásticas,2021,1,7,Tunja,-73.355539,5.53988,Centro,5a3b2b5f-6949-495c-9138-750db06b2d44,Inactivo
Teatro,2021,18,7,Tunja,-73.355539,5.53988,Centro,4813f34f-dea7-439d-b7d2-9531112f902d,Inactivo
Teatro,2021,3,7,Tunja,-73.355539,5.53988,Centro,8e25d713-30e5-4a2b-b1a9-2d55bfcddf74,Inactivo
Música,2021,5,7,Tunja,-73.355539,5.53988,Centro,03b70a19-2ae2-476d-8666-f0db5b537462,Inactivo
Literatura,2021,1,7,Campohermoso,-73.104173,5.031676,Lengupá,a1142c83-7840-4410-82cc-4c9d54dc5732,Inactivo
Danza,2021,16,8,Tuta,-73.230285,5.689082,Centro,acaefa64-e9b6-4a26-9bd9-ae438e5dac88,Inactivo
Cinematográfia y Medios Audiovisuales,2021,2,8,Tunja,-73.355539,5.53988,Centro,14cab9b8-2eb1-47ac-a02f-74757cccabfc,Inactivo
Teatro,2021,12,8,Tunja,-73.355539,5.53988,Centro,c8a4a442-89ef-47f9-b039-fcd22c986600,Inactivo
Música,2021,13,8,Duitama,-73.03063,5.822964,Tundama,36461aa7-69cf-47b9-9988-aa4fc552348a,Inactivo
Artes Plásticas,2021,3,8,Garagoa,-73.364413,5.083234,Neira,a8ff5e8b-1ef0-4e52-90c6-19946357f14d,Inactivo
Danza,2021,35,8,Sativanorte,-72.708458,6.131132,Norte,60c584b7-84aa-4f1c-a4fe-73366598978f,Inactivo
Danza,2021,3,8,Paipa,-73.11782,5.779894,Tundama,9bee6d4a-ee4d-451d-9815-f8425892b08e,Inactivo
Danza,2021,1.5,8,Paipa,-73.11782,5.779894,Tundama,11040efd-cba8-40fa-9c9b-89d7a8d37ff9,Inactivo
Música,2021,4,8,Duitama,-73.03063,5.822964,Tundama,2a02d19e-7049-4245-aaca-07f70983e181,Inactivo
Música,2021,10,8,Duitama,-73.03063,5.822964,Tundama,ca4e2f2f-3e2a-4c2a-8c1b-bbafaf74db5c,Inactivo
Cinematográfia y Medios Audiovisuales,2021,5,8,Sogamoso,-72.924355,5.723976,Sugamuxi,7faec239-ea6f-4562-8638-228ab6f04b39,Inactivo
Teatro,2021,3.25,8,Tunja,-73.355539,5.53988,Centro,6529c473-003a-4d47-b711-487216e498fb,Inactivo
Danza,2021,5,8,Paipa,-73.11782,5.779894,Tundama,239eac23-c331-452c-a440-a6e4fb1c8f76,Inactivo
Artes Plásticas,2021,5,8,Boyacá,-73.361945,5.454578,Márquez,9f9572f3-46f6-48b2-899b-68ac85ef9607,Inactivo
Danza,2021,9,8,Soatá,-72.684051,6.331945,Norte,d839137c-8aa3-4cd5-84c4-3a440201b5d8,Inactivo
Danza,2021,9,8,Soatá,-72.684051,6.331945,Norte,3b030817-8b2f-406d-9044-3105f0997656,Inactivo
Música,2021,15,8,Duitama,-73.03063,5.822964,Tundama,22b1855d-303a-4368-9393-abfc10ba6596,Inactivo
Danza,2021,16,8,Tunja,-73.355539,5.53988,Centro,afcd7429-da71-478d-b4ed-0611fab15c3f,Inactivo
Teatro,2021,11,8,Sogamoso,-72.924355,5.723976,Sugamuxi,047404ed-58da-467c-a176-d5e29f654d53,Inactivo
Danza,2021,3,8,Duitama,-73.03063,5.822964,Tundama,46b3b2ee-394f-43bf-982d-751f8ad58cc9,Inactivo
Teatro,2021,11,8,Tunja,-73.355539,5.53988,Centro,e751b2a0-488b-4b3c-a366-78fb6932c0f0,Inactivo
Danza,2021,2,8,Duitama,-73.03063,5.822964,Tundama,b84158ca-c839-4366-b69d-92f8c3a2fe75,Inactivo
Otro,2021,7,8,Sogamoso,-72.924355,5.723976,Sugamuxi,c7a9769d-19af-427a-a27b-5079916fc5a1,Inactivo
Música,2021,10,8,Sogamoso,-72.924355,5.723976,Sugamuxi,210176f5-39ec-4a6a-a1b7-8a9a3bc114ba,Inactivo
Música,2021,9,8,San Eduardo,-73.077747,5.22401,Lengupá,c9ba70ea-22b4-49b2-a78a-fec2128d53fe,Inactivo
Teatro,2021,6,8,Miraflores,-73.14563,5.196515,Lengupá,d65ea8a9-1f5f-4346-b346-55929604b573,Inactivo
Música,2021,10,8,Sogamoso,-72.924355,5.723976,Sugamuxi,a2198bc9-eb77-46b4-b9da-a1c22bf5b1fe,Inactivo
Danza,2021,4,8,Monguí,-72.849292,5.723486,Sugamuxi,dfb68046-99b4-44fd-951c-0f03a7b73729,Inactivo
Teatro,2021,4,8,Duitama,-73.03063,5.822964,Tundama,58afd965-40a2-4531-b8fc-41cd873b17f7,Inactivo
Música,2021,10,8,Duitama,-73.03063,5.822964,Tundama,33fe4a0a-5fd7-45a2-9c90-392afdce9431,Inactivo
Otro,2021,2,8,Sogamoso,-72.924355,5.723976,Sugamuxi,637bfd6c-7772-4c63-9518-87902c9f29c0,Inactivo
Música,2021,10,8,Duitama,-73.03063,5.822964,Tundama,6b1fd8b4-4f01-4fad-a5b2-aefb3305189b,Inactivo
Danza,2021,15,8,Duitama,-73.03063,5.822964,Tundama,5cfa96fa-8230-4133-a49e-daf224b82602,Inactivo
